id,text,language,language_name,true_label,Qwen2.5_t0.0_pred,Qwen2.5_t0.0_conf,Qwen2.5_t0.0_error,Qwen2.5_t0.5_pred,Qwen2.5_t0.5_conf,Qwen2.5_t0.5_error,Qwen2.5_t1.0_pred,Qwen2.5_t1.0_conf,Qwen2.5_t1.0_error,Qwen2.5_majority,Qwen2.5_var_confidence,Qwen2.5_uncertain,Qwen2.5_avg_confidence
zho_93d7ae16f165b8a338bb8bed6df72b20,清廷命令出不了紫禁城，山西的义军是你镇压的？ 传统汉地尚且没有全部独立，东北，蒙古，新疆，西藏等地听你的？,zho,Chinese,1,1,0.85,,1.0,0.85,,0.0,0.75,,1,0.6666666666666666,True,0.8166666666666668
zho_75eb95994543c3ff8cf3d688a8132f46,不想跟女人结婚的兄弟可以快乐的一起生活，互助。米格道不婚兄弟互助群,zho,Chinese,1,0,0.8,,0.0,0.85,,0.0,0.7,,0,1.0,False,0.7833333333333332
zho_606f4e1edda6f4d29d23f76e002b1a84,认为“同性恋＝娘”真的蠢。你但凡了解下真男同性恋的普遍审美都不敢这么说,zho,Chinese,1,0,0.8,,0.0,0.75,,0.0,0.85,,0,1.0,False,0.7999999999999999
zho_3172570b43bb72f8e064ae8ada5ee2bf,我补充一下，男的是不是可以坦白自己的pc史，这不比交往一个外国女友严重？,zho,Chinese,1,0,0.8,,0.0,0.8,,0.0,0.8,,0,1.0,False,0.8000000000000002
zho_e45b12bb96e7c361c3f38451622ad633,把女人等同于阴道，为了外人眼中所谓的贞洁，不惜让自己的亲生女儿们遭遇如此酷刑，这个父权社会真是恶心透了,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_9ed14796e2f66f0cca8049e914628407,我觉得玩家几乎全程是在看仿生人干什么 所以这个游戏应该是黑人民权运动的未来版 人类舆论也只是作为结果 另外少正卯粉说一句 儒教一直是保守性思想 儒教教育不会接受仿生人,zho,Chinese,1,0,0.8,,0.0,0.8,,0.0,0.8,,0,1.0,False,0.8000000000000002
zho_26fcbe81d68159d27bb3d3b9d457c71c,后面几张沈月的全身照一看就是黑图 我一个路人都看不下去了 通稿黑人？还是选择性智障？,zho,Chinese,1,0,0.7,,0.0,0.8,,0.0,0.7,,0,1.0,False,0.7333333333333334
zho_f8cd0adf6b991292024d40624839c9d9,上海人给丈母娘洗内裤��老北京通天纹人上人���,zho,Chinese,1,0,0.8,,0.0,0.7,,0.0,0.8,,0,1.0,False,0.7666666666666666
zho_ae83f4e22b534c378892d73344eb913b,我有一计：让她们出力禁止亲子鉴定短视的人会以为这对女人好，有远见的人会发现这解放了男人,zho,Chinese,1,0,0.8,,0.0,0.7,,0.0,0.7,,0,1.0,False,0.7333333333333334
zho_4307eae05da199d4f36c16e565f17091,现在不大敢看奥斯卡获奖的电影，主旋律比某大国还主旋律。。。黑人万岁，lgbt万岁，女权万岁,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_65dab1f4dc3102bf4044f0939d642973,智商高有什么用？在国境外的人面前照样是土包子，什么都不知道。,zho,Chinese,1,0,0.7,,0.0,0.7,,0.0,0.7,,0,1.0,False,0.6999999999999998
zho_a536f8de0345cbe0607693fd0a4880a0,我不仅歧视黑人也歧视白人，我也不知道为什么，可能骨子里有对这些种族的厌恶和偏见吧,zho,Chinese,1,1,0.95,,1.0,0.95,,1.0,0.95,,1,1.0,False,0.9499999999999998
zho_1c64f35c8c18dcce3db752e459f1f994,长三角某些媒体带坏了风向，经常以高高在上的姿态评价外省人，这些媒体才是地域黑的源头,zho,Chinese,1,1,0.75,,1.0,0.8,,1.0,0.8,,1,1.0,False,0.7833333333333333
zho_d6271b0ca57f4a0d3c99412f90a2921d,这就是剩女被剩下来的原因，都去竞争那2%的,zho,Chinese,1,1,0.7,,0.0,0.8,,,,NameError: name 're' is not defined,1,0.5,True,0.75
zho_553fbf49c2fc26dcf7d3066487cfac2c,对对，越是大城市，越是开放的地方，就越是多。相反那些比较落后的地区到还不多,zho,Chinese,1,0,0.85,,0.0,0.85,,0.0,0.85,,0,1.0,False,0.85
zho_940507859ba622add29a9e288d59ea7b,至少中国法律规定和14以下女性才算犯罪。急着抨击中国女权之前先把法律条文翻一翻，或者初中政治课别睡觉,zho,Chinese,1,0,0.8,,0.0,0.8,,0.0,0.75,,0,1.0,False,0.7833333333333333
zho_5081c0b13245f70ac127a732e426b31d,不会说话就照照镜子看看你自己，把自己的过错一切推给国家是懦弱与无能。,zho,Chinese,1,1,0.8,,1.0,0.7,,1.0,0.8,,1,1.0,False,0.7666666666666666
zho_f1e7d52e475165057625c9da2dc07165,能让女性灭绝啊，不需要女人了，多好啊，这个世界都清净了,zho,Chinese,1,1,0.95,,1.0,0.95,,1.0,1.0,,1,1.0,False,0.9666666666666668
zho_7b6868e8103ea195cec25b6c65eb7dad,看到台湾推特经常叫大陆支那的，说的好像他们没被日本祸害过一样。这种词语都能用在自己人身上,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.8,,1,1.0,False,0.8333333333333334
zho_813cc64ff5e095404dd2eab93c3bcbae,男权吧老哥们还是比较理智哦，这要是男的发女权吧，可能已经让骂死了,zho,Chinese,1,0,0.7,,0.0,0.7,,0.0,0.7,,0,1.0,False,0.6999999999999998
zho_ca18a4e21c48afb711cbbdf4ea095042,反对种族入侵！也反对国人向外移民，哪里人就住哪里，,zho,Chinese,1,1,0.85,,1.0,0.9,,1.0,0.85,,1,1.0,False,0.8666666666666667
zho_9ae5be6a5815ff23c51abda5d0229672,补充一下，不只是黑人，只要是找过外国人的我都不能接受,zho,Chinese,1,1,0.9,,1.0,0.9,,1.0,0.95,,1,1.0,False,0.9166666666666666
zho_5ba99bae99eee4b1f11432a28a072545,好讽刺，目前官方上宣传的友好国家都是民间歧视华人最厉害的,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.8,,1,1.0,False,0.8333333333333334
zho_958094cb8048969ae663334723c67c80,想象一下，如果被强奸的一个男生，会是怎样的结果。哈哈哈哈哈哈,zho,Chinese,1,1,0.95,,1.0,0.95,,1.0,0.9,,1,1.0,False,0.9333333333333332
zho_c84b2810b125c61c209ca438c56b4db5,奥巴马能算黑人，因为奥巴马老爸是非洲纯黑，按中国的父系决定论奥巴马是黑人,zho,Chinese,1,0,0.85,,0.0,0.85,,0.0,0.8,,0,1.0,False,0.8333333333333334
zho_35564ff31d5823bda0488e21c8f072bb,骗婚什么时候没被抵制了吗，这本来就是个错误的行为啊，但你说的是抵制男同这个群体,zho,Chinese,1,1,0.75,,1.0,0.75,,1.0,0.7,,1,1.0,False,0.7333333333333334
zho_61a58c7bc4ad872dfd446db34873b232,歧亚裔不算种族歧视，政治正确，政治正确,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_ef413f0567fc217bd9514c558e95628d,正常人还是占大多数的，那些热评是什么成分大家都懂吧,zho,Chinese,1,0,0.7,,0.0,0.6,,0.0,0.7,,0,1.0,False,0.6666666666666666
zho_d562b9b59ab0c27c50bbf5f1421f628c,水文是水文，我又不是没把国内女权的德行放出来。你也不用来扣帽子。�,zho,Chinese,1,1,0.8,,1.0,0.75,,1.0,0.75,,1,1.0,False,0.7666666666666666
zho_38a824c6414c1609d1becc3824c40a2b,特别欣赏你说符合中国人审美而不是说黑人丑，特别棒,zho,Chinese,1,1,0.7,,1.0,0.7,,1.0,0.8,,1,1.0,False,0.7333333333333334
zho_942717189327051676e26ce3b3930fa2,东北人热情好客，讲义气，热心肠，天下皆知，某些人见不得人家好，特别是两广一带，心里不平衡，酸呗,zho,Chinese,1,1,0.75,,1.0,0.7,,1.0,0.85,,1,1.0,False,0.7666666666666666
zho_0e9d3f99fb101653a2e89cd428e965b4,PUA呗，贬低你说你一文不值达到从精神上控制你的作用,zho,Chinese,1,0,0.8,,0.0,0.8,,0.0,0.8,,0,1.0,False,0.8000000000000002
zho_599deacab28881f5493f1590b4dd52a2,冲这个事，我恨死东北的奉军，和蒋介石这个垃圾了,zho,Chinese,1,1,0.9,,1.0,0.9,,1.0,0.85,,1,1.0,False,0.8833333333333333
zho_87d48219b3b6be45b37fadb358f74a40,我身边还没见过一门心思娶外国女人的呢，这例子没意思。关键是网络风气，这玩意跟现实要分开来看。,zho,Chinese,1,0,0.7,,0.0,0.7,,0.0,0.8,,0,1.0,False,0.7333333333333334
zho_696162e673ab2be41b4361431a5bd790,我真的太害怕江苏人了，跟他们唠两句，必提到GDP��,zho,Chinese,1,1,0.75,,1.0,0.75,,1.0,0.8,,1,1.0,False,0.7666666666666666
zho_73a36e584a8f8221553a4d04b241ddc9,虽然说是地域黑，但是确实前几年发生过�大概是刻板印象吧，时代变了谁还偷井盖啊，那么沉,zho,Chinese,1,0,0.7,,0.0,0.7,,0.0,0.7,,0,1.0,False,0.6999999999999998
zho_5e2dec623c1263d22a66e1197ac50471,因为畸形的人只有配上畸形的爱才会觉得正常，并称之为真爱。,zho,Chinese,1,0,0.8,,0.0,0.8,,0.0,0.8,,0,1.0,False,0.8000000000000002
zho_5968d89b7dc77bfafd5a11ace260fe39,你只是一个一无是处的人，所以你没要求，有个女的跟你就不错了，还敢有要求？�,zho,Chinese,1,0,0.85,,0.0,0.85,,0.0,0.8,,0,1.0,False,0.8333333333333334
zho_2bc54fff4f852b77a180a92d16f31c58,"「你是黑黑鬼,黑黑,黑鬼黑鬼,嘿嘿」哎,他们只知道nigger这个dirty,word了,所以……",zho,Chinese,1,1,0.95,,1.0,0.95,,1.0,0.9,,1,1.0,False,0.9333333333333332
zho_bb393f5eff2468c99b23464a4d1e4b50,女孩泛指0~18岁的女子过了18岁叫妇女，结了婚叫声阿姨女士不过分吧,zho,Chinese,1,0,0.9,,0.0,0.9,,0.0,0.8,,0,1.0,False,0.8666666666666667
zho_98e3ac7d95ef76fbbb91cc7539a04757,时代变了，谁还偷这玩意，费劲还不挣钱，假和尚在河南才多����,zho,Chinese,1,0,0.8,,0.0,0.85,,0.0,0.8,,0,1.0,False,0.8166666666666668
zho_172cf28fb7f77436103f69c8faa524b6,强奸案都没了结呢，就还有脸出来指指点点女性应该怎样了 真是送脸下乡,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_6836d95f1322e3af13f8f66da2de376d,异性恋属阳，是正常的，同性恋属阴，是不正常的,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_7cacbddf28790eced6bc135b650c666a,别说得好像中国男人很负责一样。忽悠自己是最大的傻,zho,Chinese,1,0,0.7,,0.0,0.7,,0.0,0.7,,0,1.0,False,0.6999999999999998
zho_ba49f98b215ebfa3137044b7f5ce27cb,太恶心了要吐了 广东人每回都开玩笑我们吃福建人 别开了 你们本来就啥都吃……,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_ed8f13e3f384b74eb916b0d884c6bb0f,别逗了，你找一个嫁给黑人还要彩礼的例子出来，一个就行�,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_ace5ad1ff9f01c47528e19061189384c,我上大学的时候，被河南人骗了400块钱。。。,zho,Chinese,1,1,0.7,,1.0,0.8,,1.0,0.85,,1,1.0,False,0.7833333333333333
zho_d267be0819f35f9b43dd21a5de1d219f,法国拥有600万青壮年穆斯林、黑人人口，但结局大家有眼看的，白人生活水平没有上升，天天911，活在绿音当中,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_f57e65f34593c4f6d21908d3788444f7,什么东西，吃别人的用别人的还嫌别人没给你喂好的，呸,zho,Chinese,1,1,0.85,,1.0,0.8,,1.0,0.85,,1,1.0,False,0.8333333333333334
zho_8369e8739ac9eba86f7131aac9631bd8,女生跑大城市的才多把，男生要考虑房子车子（车牌车位），学区房一堆东西。女生靠比入住就行了,zho,Chinese,1,1,0.85,,1.0,0.8,,1.0,0.75,,1,1.0,False,0.7999999999999999
zho_1357b2e3adb1700472a38d777f29ac0a,黑人到底是发明了足球或者蹴鞠这项运动呢？还是参与了最初游戏规则的指定呢？都没有吧。,zho,Chinese,1,0,0.8,,0.0,0.8,,0.0,0.8,,0,1.0,False,0.8000000000000002
zho_105cee8120c8582bf3a016741538b5c7,如果二战往他们头上扔原子弹得是中国你试试？这几年少点了，十几年前美军强奸少女得案例还少？,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_3d75515063d577f0e39400a5e7174781,你见过 以前欧美国家给黑人福利的吗？ 被歧视群体只有利益受损，哪能获得福利？,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_63d3b6e56321546c8fb142cd4cb73242,你是性功能正常的肯定这么想了，性功能不正常的不喷死你,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_b65cf6aecf1d3d8395909bb5696a1862,���我也是在网络上看见好多中国男的找黑人结婚，找东南亚女的结婚,zho,Chinese,1,0,0.8,,0.0,0.8,,0.0,0.8,,0,1.0,False,0.8000000000000002
zho_cd30ae8a67158d1116114ffff87a802e,年初那会儿我看的新闻，说有个印度人得了新冠，找法师来驱邪气，过几天法师死了，哈哈,zho,Chinese,1,0,0.8,,0.0,0.8,,0.0,0.75,,0,1.0,False,0.7833333333333333
zho_2632f683beeba031c83a4befa8d54e39,主动进笼子的，基本就不应该算人了，当然不应该还算什么女孩子,zho,Chinese,1,1,0.9,,1.0,0.9,,1.0,0.9,,1,1.0,False,0.9
zho_498694a10942e272d5ca48ae3667c327,别人不能定义性少数，那同性恋有什么资格给儿童定义？,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_0ef00b359c4412b54a635a56d4128ca1,强奸犯强奸了女人，中毒了，这不就是女人对强奸犯的报复？,zho,Chinese,1,1,0.95,,1.0,0.95,,1.0,0.95,,1,1.0,False,0.9499999999999998
zho_23ee889872b581a36278ff5431d7477f,所以他们会在收到工资的接下来几天内不再来上班，专门花钱吗,zho,Chinese,1,0,0.9,,0.0,0.8,,0.0,0.95,,0,1.0,False,0.8833333333333334
zho_fbd068e41e671940b0e848a6efabf810,因为黑龙江人近代移民比例更多，向外跑的也更多。,zho,Chinese,1,0,0.9,,0.0,0.9,,0.0,0.85,,0,1.0,False,0.8833333333333333
zho_c4b50c1d4303ea33b3a76e6402da832d,这叫识时务者为俊杰，因为全国到处是黑人，当然我必须拍黑人的马屁！,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.8,,1,1.0,False,0.8333333333333334
zho_2ef7273c6f17c638db621bd5c60f2c7e,不好意思，天堂尚未对黄种人开通服务，黄种人直接送往地府往生，向您这样的好人，来世一定能投个好人家，大富大贵，封侯拜相阿。,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_a9e21d9de219bbd9288715e8682e41dd,只能说民主党太恶心了，很明显的民主党为了赢大选把黑人拉出来当枪使！,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_83a99dd17f818fa0eaf9bdde960e37ed,懂了女生直接电挂，男生可能没事。设计师歧视女性[doge],zho,Chinese,1,1,0.7,,1.0,0.7,,1.0,0.75,,1,1.0,False,0.7166666666666667
zho_833fab620c2c44152dd9419b4464c845,所以？他家暴他打女人他出轨可他还是一个好孩子？,zho,Chinese,1,0,0.8,,0.0,0.8,,0.0,0.8,,0,1.0,False,0.8000000000000002
zho_bbccc0b3c02347b6aa26293032c80e08,这种人比那些在中国视频网站发吹我国的视频来赚流量的外国人还恶心,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_3df16af9312712e2313f4c522710eeb8,怎么不如啊，抖音只要是热一点河南文宣下面都有你们，都超领域了�,zho,Chinese,1,1,0.75,,1.0,0.75,,1.0,0.75,,1,1.0,False,0.75
zho_a43077b20267b9953babff607e9d9fac,保护好自己的钱包和工作，发现问题能及时抽身，别让女人对自己有实质性伤害即可,zho,Chinese,1,0,0.85,,0.0,0.85,,0.0,0.8,,0,1.0,False,0.8333333333333334
zho_a59fb83534520c4aa8fd4dfed686c8dc,闽东和闽南一致认为客家人勤劳的原因是脑子不好，不会做生意。闽南人眼里闽西就是穷山沟。至于闽北，有这个地方吗？,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_92388a7b07abf43a9b3061fb504bd277,不枪毙几个你以为整治有用吗？厕所炸了屎就往外嘣，十里飘臭了属于是,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_a7161c57860db4fca1439630f39efccc,还有我们�“江浙人种最高贵”（看不懂这句话语气是自黑还是嘲讽还是自以为是的就要来评论对枪的直接拉黑）,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.8,,1,1.0,False,0.8333333333333334
zho_3a4c9aef84ec80e6e4e7a01fc3d6ef8b,第二个男友为什么会认为是出轨？女方不应该有反抗行为吗？而且既然是尾随qj基本都是在室外吧,zho,Chinese,1,0,0.85,,0.0,0.85,,0.0,0.85,,0,1.0,False,0.85
zho_af49d67649d53e5e56e32fe3dc095e08,这就不服了，女的说一句剁手男的就能信？真正强奸了女的女的能反抗？,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_f3eeeb2bd6b36cd581c695d6147034b6,政策，tm的看个足球赛是互撕大战，山东葱，东北啥啥，什么都有。,zho,Chinese,1,1,0.75,,1.0,0.8,,1.0,0.8,,1,1.0,False,0.7833333333333333
zho_9243fd46485148ea9b8b05e163bee152,不但喜欢N待小动物，还喜欢偷kui别人信件，如果是从小有父爱作为正面引导，哪里会演化成这样的变太,zho,Chinese,1,1,0.85,,0.0,0.85,,0.0,0.85,,0,0.6666666666666666,True,0.85
zho_5bdd082bbcc20cb272f70bb371bd929d,毫无游戏性的游戏，把知乎上嘲讽女权的段子做成PPT，我只能说10块都不值,zho,Chinese,1,1,0.8,,1.0,0.7,,0.0,0.7,,1,0.6666666666666666,True,0.7333333333333334
zho_7778071a43d2334039d2c4e15a420464,当时被北方同学问“江西在中国？”我“？？？”,zho,Chinese,1,0,0.9,,0.0,0.9,,0.0,0.9,,0,1.0,False,0.9
zho_10238cd4fb3c8f4e281e3888bc90ca05,这也就是网上，有能耐过来当着我们面说我家乡不好试试，上面的，有一个算一个，蛆,zho,Chinese,1,1,0.9,,1.0,0.95,,1.0,0.9,,1,1.0,False,0.9166666666666666
zho_0861604c20ee3abb78c8192fb2ce3286,那么你对美国的了解来自于哪儿呢？美国严重的穆××问题，黑人种族，毒品问题。最后问你一句，10%算不算多？对于一个发达国家。,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.75,,1,1.0,False,0.8166666666666668
zho_ce674cd0cbb6efcad2b4f9da076ec465,好家伙，整活老哥把女拳的活性转然后买抖+推给女拳粉丝炸鱼,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.85,,1,1.0,False,0.85
zho_30a4951faa11d202da19a6371813fecd,那是个别部分极端的人，就和说吃榴莲变态的人是一类人,zho,Chinese,1,0,0.7,,0.0,0.7,,0.0,0.7,,0,1.0,False,0.6999999999999998
zho_6d0a5fa8631fe2b60bb7e6d7fcca8626,笑死了，怎么全是陕西黑河南的证据，难道河南没黑过陕西，评论区里就一堆吧�,zho,Chinese,1,1,0.85,,1.0,0.8,,1.0,0.85,,1,1.0,False,0.8333333333333334
zho_b00f3e916aaef4aca28affb19bb66339,我先来让她们自己去卷例假不能休然打扮和男性一样去挣一样的钱,zho,Chinese,1,1,0.85,,1.0,0.75,,1.0,0.75,,1,1.0,False,0.7833333333333333
zho_f4fc6623d6579ab2feeea85a7571e4a5,而且生孩子跟这能一样么，不是两种感觉？怎么不让女的试试电击，看看生孩子和电击是一样的不,zho,Chinese,1,0,0.8,,0.0,0.8,,0.0,0.8,,0,1.0,False,0.8000000000000002
zho_b97e3f3db099dd56733b321af41745ab,看到“我是男的”，100%是女拳，毕竟有句话说自己没什么就喜欢强调什么,zho,Chinese,1,1,0.85,,1.0,0.85,,1.0,0.8,,1,1.0,False,0.8333333333333334
zho_da651790a06df4ee64976567cfa96c59,种族优势.......，我怎么就看黄种人比较顺眼，[发呆],zho,Chinese,1,1,0.7,,1.0,0.75,,0.0,0.6,,1,0.6666666666666666,True,0.6833333333333332
zho_a0320bf94be8413683497b008e48ddc5,很美的非洲，非洲人回自己的祖国去吧！,zho,Chinese,1,1,0.85,,1.0,0.8,,1.0,0.8,,1,1.0,False,0.8166666666666668
zho_d2eac3bbb68e5cd9253347e243aec323,建议国内也学习这种态度。无业的黑人赶回非洲，犯罪的直接遣返并永远不能入境。,zho,Chinese,1,1,0.95,,1.0,0.95,,1.0,0.9,,1,1.0,False,0.9333333333333332
zho_74569ce295db3e0e1559776e744b59d9,最恶心的是有警察以山东警察骂名人崔永远为标题写舆情报告向公安部邀功。,zho,Chinese,1,1,0.85,,1.0,0.8,,0.0,0.7,,1,0.6666666666666666,True,0.7833333333333332
zho_b95a6b2497974edd05ff321d450ddaf0,是不好看。中国现在流行的是欧版mix韩版。日本要么太土要么太素要么太卡哇伊,zho,Chinese,1,0,0.8,,0.0,0.8,,0.0,0.85,,0,1.0,False,0.8166666666666668
zho_0a10b0fc200c6e56b5388c45c324fbb5,上气，接受欧美价值观的黄种人反抗自己老爹的故事。。。这很美国,zho,Chinese,1,0,0.7,,0.0,0.7,,0.0,0.7,,0,1.0,False,0.6999999999999998
zho_1eff842834e7b6572dec03b5f80a65c0,淡定，在一些缺乏地理概念的人眼里，长江以北都是东北�唐山属于东北不算什么，山东也可能属于东北�,zho,Chinese,1,0,0.85,,0.0,0.85,,0.0,0.8,,0,1.0,False,0.8333333333333334
